22025-04-26 10:19:09.690 17247-18017 WhisperRepository       com.example.editecho                 D  Received response from Whisper API
2025-04-26 10:19:09.699 17247-18017 WhisperRepository       com.example.editecho                 D  Parsed transcription: Just testing out a quick message to make sure it's working again.
2025-04-26 10:19:09.809 17247-17254 xample.editecho         com.example.editecho                 W  Cleared Reference was only reachable from finalizer (only reported once)
2025-04-26 10:19:09.818 17247-17255 InputTransport          com.example.editecho                 D  Input channel destroyed: 'ClientS', fd=154
2025-04-26 10:19:09.818 17247-17257 MediaRecorderJNI        com.example.editecho                 I  finalize
2025-04-26 10:19:09.819 17247-17257 MediaRecorderJNI        com.example.editecho                 I  release
2025-04-26 10:19:09.901 17247-18060 okhttp.OkHttpClient     com.example.editecho                 I  --> POST https://api.openai.com/v1/threads
2025-04-26 10:19:09.901 17247-18060 okhttp.OkHttpClient     com.example.editecho                 I  Content-Type: application/json; charset=UTF-8
2025-04-26 10:19:09.901 17247-18060 okhttp.OkHttpClient     com.example.editecho                 I  Content-Length: 2
2025-04-26 10:19:09.901 17247-18060 okhttp.OkHttpClient     com.example.editecho                 I  {}
2025-04-26 10:19:09.901 17247-18060 okhttp.OkHttpClient     com.example.editecho                 I  --> END POST (2-byte body)
2025-04-26 10:19:10.609 17247-18060 okhttp.OkHttpClient     com.example.editecho                 I  <-- 200 https://api.openai.com/v1/threads (707ms)
2025-04-26 10:19:10.610 17247-18060 okhttp.OkHttpClient     com.example.editecho                 I  date: Fri, 25 Apr 2025 22:19:10 GMT
2025-04-26 10:19:10.610 17247-18060 okhttp.OkHttpClient     com.example.editecho                 I  content-type: application/json
2025-04-26 10:19:10.610 17247-18060 okhttp.OkHttpClient     com.example.editecho                 I  openai-version: 2020-10-01
2025-04-26 10:19:10.610 17247-18060 okhttp.OkHttpClient     com.example.editecho                 I  openai-organization: user-qk9ooygznq07jkuf9nv0ixp9
2025-04-26 10:19:10.610 17247-18060 okhttp.OkHttpClient     com.example.editecho                 I  x-request-id: req_98c65e977bf8722607445238990a4ae2
2025-04-26 10:19:10.610 17247-18060 okhttp.OkHttpClient     com.example.editecho                 I  openai-processing-ms: 137
2025-04-26 10:19:10.610 17247-18060 okhttp.OkHttpClient     com.example.editecho                 I  strict-transport-security: max-age=31536000; includeSubDomains; preload
2025-04-26 10:19:10.611 17247-18060 okhttp.OkHttpClient     com.example.editecho                 I  cf-cache-status: DYNAMIC
